smiles,pACT
C=CCc1ccc(O)c(-c2cc([C@H]3O[C@H](c4ccc(O)c(-c5cc(CC=C)ccc5O)c4)[C@@H](C)O[C@@H]3C)ccc2O)c1,4.94
C=CCc1ccc(Oc2cc(CC=C)ccc2O)cc1,5.05
C=CCc1ccc(Oc2ccc(/C=C/C=O)cc2)c(O)c1,4.98
C=CCc1ccc(Oc2ccc(C=O)cc2O)cc1,4.06
C=CCc1ccc2c(c1)-c1cc([C@@H](O)[C@H](C)O)ccc1Oc1ccc(CC=C)cc1-c1cc([C@@H](O)[C@H](C)O)ccc1O2,5.8
C=CCc1cccc(Oc2cc(CC=C)cc(O)c2O)c1,4.91
C=CCn1c(=O)c(CCO)c(-c2ccccc2Cl)c2cc(Cl)ccc21,5.0
C=CCn1cc(C(=O)c2ccc(OC)cc2O)ccc1=O,4.24
C=Cc1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,5.48
CC(=O)N1CCC(C(=O)OCCc2c(-c3ccccc3Cl)c3cc(Cl)ccc3[nH]c2=O)CC1,4.29
CC(=O)N1CCC(C(=O)O[C@H]2CC[C@@]3(C)C(=CC[C@]4(O)[C@@H]3C[C@@H](OC(=O)/C=C(\C)C(C)C)[C@@]3(C)[C@]4(O)CC[C@@]3(O)C(C)=O)C2)CC1,4.26
CC(=O)N1CCC(NS(=O)(=O)c2cccc(C(=O)Nc3ccc(F)cc3)c2)CC1,5.33
CC(=O)N1CCC[C@H]1C(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@]3(O)[C@@H]2C[C@@H](OC(=O)/C=C(\C)C(C)C)[C@@]2(C)[C@]3(O)CC[C@@]2(O)C(C)=O)C1,4.18
CC(=O)N1CCN(S(=O)(=O)c2cccc(C(=O)Nc3ccc(F)cc3)c2)CC1,5.2
CC(=O)NCC(=O)OCCc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O,4.13
CC(=O)NN1C(=O)c2cc3ccc4c(c3c(-c3ccc5c(c3)OCO5)c2C1=O)OCO4,6.0
CC(=O)NN1Cc2cc3ccc4c(c3c(-c3ccc5c(c3)OCO5)c2C1=O)OCO4,7.52
CC(=O)Nc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O,4.1
CC(=O)Nc1c(-c2ccccc2F)c2cc(Cl)ccc2[nH]c1=O,4.1
CC(=O)Nc1ccc(-c2cc(C)c(=O)n(Cc3ccc(Cl)cc3)n2)cc1,5.82
CC(=O)Nc1ccc(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](CCl)Cc2ccccc2)cc1,6.15
CC(=O)Nc1ccc(C[C@H](NC(=O)c2ccc(C)cc2)C(=O)N[C@@H](Cc2ccc(OC(C)=O)cc2)OC(C)=O)cc1,4.63
CC(=O)Nc1ccc(C[C@H](NC(=O)c2ccccc2)C(=O)N[C@H](CO)Cc2ccccc2)cc1,5.41
CC(=O)Nc1ccc2c(=O)c3cccc(F)c3oc2c1,5.21
CC(=O)OC(C)(C)CCC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)[C@@H](O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,4.95
CC(=O)OC(C)(C)CCC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H](O)[C@]4(OC(=O)c5cccc(Cl)c5)[C@@H](C[C@H](O)[C@@H](O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,5.14
CC(=O)OC(C)(C)CCC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4O[C@@]45[C@@H](C[C@H](O)[C@@H](O)C5(C)C)[C@]3(C)C(=O)C[C@]12C,4.94
CC(=O)OCC(=O)OCCc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O,4.24
CC(=O)OCCc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O,4.13
CC(=O)OCCc1c(Cl)nc2ccc(Cl)cc2c1-c1ccccc1Cl,5.21
